fk_id_policy_info,fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stage_processes,fk_id_stg_maturity,fk_id_geo_scopes,fk_id_phases,fk_id_location,fk_id_srf,fk_id_cci,fk_id_ext_partner,fk_id_policy_owner,fk_id_sdg,"fk_id_oics"
98,1,3,0,2,0,4,3,105,3,0,0,0,1,"0"
123,2,1,0,1,0,4,20,72,3,0,0,0,1,"0"
113,2,1,0,2,0,4,20,262,13,0,0,0,2,"0"
112,2,1,0,1,0,3,20,118,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,135,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,136,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,189,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,209,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,262,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,258,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,274,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,61,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,60,0,10,0,0,3,"0"
112,2,1,0,1,0,3,20,72,0,10,0,0,3,"0"
98,1,3,0,2,0,4,3,105,3,0,0,0,4,"0"
123,2,1,0,1,0,4,20,72,3,0,0,0,4,"0"
113,2,1,0,2,0,4,20,262,13,0,0,0,5,"0"
112,2,1,0,1,0,3,20,118,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,135,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,136,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,189,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,209,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,262,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,258,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,274,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,61,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,60,0,10,0,0,6,"0"
112,2,1,0,1,0,3,20,72,0,10,0,0,6,"0"
105,1,1,0,2,0,4,3,118,1,0,0,0,7,"0"
122,2,1,0,1,0,4,20,67,1,0,0,0,7,"0"
123,2,1,0,1,0,4,20,72,1,0,0,0,7,"0"
124,2,3,0,1,0,4,20,105,1,0,0,0,7,"0"
125,2,3,0,1,0,4,20,105,1,0,0,0,7,"0"
97,1,3,0,1,0,4,3,105,2,0,0,0,8,"0"
98,1,3,0,2,0,4,3,105,2,0,0,0,8,"0"
103,1,1,0,2,0,4,3,105,2,0,0,0,8,"0"
124,2,3,0,1,0,4,20,105,2,0,0,0,8,"0"
125,2,3,0,1,0,4,20,105,2,0,0,0,8,"0"
127,2,1,0,1,0,1,20,87,2,0,0,0,8,"0"
107,1,1,0,2,0,4,3,209,0,6,0,0,9,"0"
105,1,1,0,2,0,4,3,118,1,0,0,0,11,"0"
122,2,1,0,1,0,4,20,67,1,0,0,0,11,"0"
123,2,1,0,1,0,4,20,72,1,0,0,0,11,"0"
124,2,3,0,1,0,4,20,105,1,0,0,0,11,"0"
125,2,3,0,1,0,4,20,105,1,0,0,0,11,"0"
97,1,3,0,1,0,4,3,105,2,0,0,0,12,"0"
98,1,3,0,2,0,4,3,105,2,0,0,0,12,"0"
103,1,1,0,2,0,4,3,105,2,0,0,0,12,"0"
124,2,3,0,1,0,4,20,105,2,0,0,0,12,"0"
125,2,3,0,1,0,4,20,105,2,0,0,0,12,"0"
127,2,1,0,1,0,1,20,87,2,0,0,0,12,"0"
107,1,1,0,2,0,4,3,209,0,6,0,0,13,"0"
105,1,1,0,2,0,4,3,118,1,0,0,0,15,"0"
122,2,1,0,1,0,4,20,67,1,0,0,0,15,"0"
123,2,1,0,1,0,4,20,72,1,0,0,0,15,"0"
124,2,3,0,1,0,4,20,105,1,0,0,0,15,"0"
125,2,3,0,1,0,4,20,105,1,0,0,0,15,"0"
97,1,3,0,1,0,4,3,105,2,0,0,0,16,"0"
98,1,3,0,2,0,4,3,105,2,0,0,0,16,"0"
103,1,1,0,2,0,4,3,105,2,0,0,0,16,"0"
124,2,3,0,1,0,4,20,105,2,0,0,0,16,"0"
125,2,3,0,1,0,4,20,105,2,0,0,0,16,"0"
127,2,1,0,1,0,1,20,87,2,0,0,0,16,"0"
107,1,1,0,2,0,4,3,209,0,6,0,0,17,"0"
105,1,1,0,2,0,4,3,118,1,0,0,0,19,"0"
122,2,1,0,1,0,4,20,67,1,0,0,0,19,"0"
123,2,1,0,1,0,4,20,72,1,0,0,0,19,"0"
124,2,3,0,1,0,4,20,105,1,0,0,0,19,"0"
125,2,3,0,1,0,4,20,105,1,0,0,0,19,"0"
97,1,3,0,1,0,4,3,105,2,0,0,0,20,"0"
98,1,3,0,2,0,4,3,105,2,0,0,0,20,"0"
103,1,1,0,2,0,4,3,105,2,0,0,0,20,"0"
124,2,3,0,1,0,4,20,105,2,0,0,0,20,"0"
125,2,3,0,1,0,4,20,105,2,0,0,0,20,"0"
127,2,1,0,1,0,1,20,87,2,0,0,0,20,"0"
107,1,1,0,2,0,4,3,209,0,6,0,0,21,"0"
122,2,1,0,1,0,4,20,67,15,0,0,0,25,"0"
98,1,3,0,2,0,4,3,105,3,0,0,0,26,"0"
123,2,1,0,1,0,4,20,72,3,0,0,0,26,"0"
126,2,1,0,1,0,1,20,87,4,0,0,0,27,"0"
98,1,3,0,2,0,4,3,105,3,0,0,0,30,"0"
123,2,1,0,1,0,4,20,72,3,0,0,0,30,"0"
126,2,1,0,1,0,1,20,87,4,0,0,0,31,"0"
104,1,1,0,2,0,3,3,187,25,0,0,0,34,"0"
104,1,1,0,2,0,3,3,197,25,0,0,0,34,"0"
104,1,1,0,2,0,3,3,68,25,0,0,0,34,"0"
104,1,1,0,2,0,3,3,23,25,0,0,0,34,"0"
104,1,1,0,2,0,3,3,54,25,0,0,0,34,"0"
104,1,1,0,2,0,3,3,65,25,0,0,0,34,"0"
104,1,1,0,2,0,3,3,93,25,0,0,0,34,"0"
104,1,1,0,2,0,3,3,101,25,0,0,0,34,"0"
99,1,2,0,2,0,1,3,87,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,183,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,209,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,258,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,37,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,26,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,60,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,54,12,0,0,0,37,"0"
100,1,1,0,2,0,3,3,93,12,0,0,0,37,"0"
101,1,2,0,2,0,3,3,135,12,0,0,0,37,"0"
101,1,2,0,2,0,3,3,24,12,0,0,0,37,"0"
99,1,2,0,2,0,1,3,87,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,183,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,209,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,258,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,37,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,26,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,60,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,54,12,0,0,0,38,"0"
100,1,1,0,2,0,3,3,93,12,0,0,0,38,"0"
101,1,2,0,2,0,3,3,135,12,0,0,0,38,"0"
101,1,2,0,2,0,3,3,24,12,0,0,0,38,"0"
109,2,3,0,1,0,4,20,243,0,15,0,0,39,"0"
110,2,1,0,1,0,4,20,118,0,15,0,0,39,"0"
102,1,3,0,1,0,4,3,188,0,16,0,0,40,"0"
109,2,3,0,1,0,4,20,243,0,15,0,0,41,"0"
110,2,1,0,1,0,4,20,118,0,15,0,0,41,"0"
102,1,3,0,1,0,4,3,188,0,16,0,0,42,"0"
126,2,1,0,1,0,1,20,87,4,0,0,0,43,"0"
109,2,3,0,1,0,4,20,243,0,15,0,0,56,"0"
110,2,1,0,1,0,4,20,118,0,15,0,0,56,"0"
102,1,3,0,1,0,4,3,188,0,16,0,0,57,"0"
102,1,3,0,1,0,4,3,188,0,16,0,0,58,"0"
126,2,1,0,1,0,1,20,87,6,0,0,0,59,"0"
127,2,1,0,1,0,1,20,87,6,0,0,0,59,"0"
126,2,1,0,1,0,1,20,87,4,0,0,0,60,"0"
