fk_id_innovation_info,fk_id_ext_partner,"role"
1169,2582,"Contibutor"
1169,1032,"Contibutor"
1169,948,"Contibutor"
1169,109,"Leader"
1170,1697,"Contibutor"
1170,106,"Contibutor"
1170,748,"Contibutor"
1170,113,"Leader"
1171,2023,"Contibutor"
1171,1639,"Contibutor"
1171,1200,"Contibutor"
1171,109,"Leader"
1172,690,"Contibutor"
1172,109,"Leader"
1173,2089,"Contibutor"
1173,1631,"Contibutor"
1173,959,"Leader"
1174,12,"Contibutor"
1174,122,"Contibutor"
1174,467,"Contibutor"
1174,191,"Contibutor"
1174,106,"Leader"
1175,3986,"Contibutor"
1175,4123,"Contibutor"
1175,4164,"Contibutor"
1175,4166,"Contibutor"
1175,110,"Leader"
1176,110,"Contibutor"
1176,4231,"Contibutor"
1176,2469,"Contibutor"
1176,4643,"Contibutor"
1176,4649,"Contibutor"
1176,110,"Leader"
980,756,"Contibutor"
980,1859,"Contibutor"
980,805,"Contibutor"
980,79,"Contibutor"
980,1746,"Contibutor"
980,113,"Leader"
1177,110,"Contibutor"
1177,974,"Contibutor"
1177,1065,"Contibutor"
1177,429,"Contibutor"
1177,799,"Contibutor"
1177,119,"Leader"
1178,974,"Contibutor"
1178,429,"Contibutor"
1178,119,"Leader"
1179,646,"Contibutor"
1179,655,"Contibutor"
1179,1631,"Contibutor"
1179,108,"Contibutor"
1179,107,"Contibutor"
1179,113,"Leader"
1180,2072,"Contibutor"
1180,113,"Leader"
1181,111,"Contibutor"
1181,107,"Contibutor"
1181,2074,"Contibutor"
1181,1661,"Contibutor"
1181,1905,"Contibutor"
1181,113,"Leader"
1182,113,"Contibutor"
1182,1905,"Leader"
1183,113,"Contibutor"
1183,2742,"Leader"
1184,113,"Contibutor"
1184,107,"Contibutor"
1184,118,"Contibutor"
1184,2742,"Leader"
1185,350,"Contibutor"
1185,108,"Leader"
1186,108,"Contibutor"
1186,350,"Leader"
1187,350,"Contibutor"
1187,108,"Contibutor"
1187,263,"Leader"
1188,350,"Contibutor"
1188,263,"Contibutor"
1188,108,"Leader"
1189,108,"Contibutor"
1189,1047,"Contibutor"
1189,695,"Contibutor"
1189,951,"Contibutor"
1190,104,"Contibutor"
1190,959,"Leader"
1191,4083,"Contibutor"
1191,110,"Leader"
1192,1692,"Contibutor"
1192,104,"Leader"
1193,1692,"Contibutor"
1193,104,"Leader"
1194,2616,"Contibutor"
1194,108,"Leader"
1195,114,"Contibutor"
1195,65,"Contibutor"
1195,119,"Contibutor"
1195,1664,"Contibutor"
1195,106,"Contibutor"
1195,110,"Leader"
1196,4038,"Contibutor"
1196,110,"Leader"
1197,4038,"Contibutor"
1197,110,"Leader"
1198,951,"Contibutor"
1198,4088,"Contibutor"
1198,4168,"Contibutor"
1198,118,"Leader"
1199,1256,"Contibutor"
1199,99,"Contibutor"
1199,1990,"Contibutor"
1199,113,"Leader"
1200,610,"Contibutor"
1200,106,"Leader"
1201,1024,"Contibutor"
1201,2731,"Contibutor"
1201,690,"Leader"
1203,739,"Contibutor"
1203,947,"Contibutor"
1203,4072,"Contibutor"
1203,110,"Leader"
1204,203,"Contibutor"
1204,110,"Leader"
1205,203,"Contibutor"
1205,110,"Leader"
1206,2219,"Contibutor"
1206,110,"Leader"
1207,1644,"Contibutor"
1207,110,"Leader"
1208,110,"Contibutor"
1208,110,"Leader"
1209,966,"Contibutor"
1209,632,"Contibutor"
1209,109,"Leader"
1211,1663,"Contibutor"
1211,110,"Leader"
1212,429,"Contibutor"
1212,1065,"Contibutor"
1212,800,"Contibutor"
1212,110,"Leader"
1213,563,"Contibutor"
1213,673,"Contibutor"
1213,110,"Leader"
1214,800,"Contibutor"
1214,2405,"Contibutor"
1214,2219,"Contibutor"
1214,1065,"Contibutor"
1214,110,"Leader"
1215,1137,"Contibutor"
1215,292,"Contibutor"
1215,2680,"Contibutor"
1215,113,"Leader"
1216,1669,"Contibutor"
1216,113,"Leader"
1217,673,"Contibutor"
1217,2141,"Contibutor"
1217,112,"Contibutor"
1217,106,"Leader"
1218,792,"Contibutor"
1218,108,"Contibutor"
1218,792,"Leader"
1219,690,"Contibutor"
1219,109,"Leader"
1220,690,"Contibutor"
1220,109,"Leader"
1221,690,"Contibutor"
1221,109,"Leader"
1222,690,"Contibutor"
1222,109,"Leader"
1223,2618,"Contibutor"
1223,104,"Leader"
1224,944,"Contibutor"
1224,966,"Contibutor"
1224,1032,"Contibutor"
1224,2606,"Contibutor"
1224,1904,"Contibutor"
1224,109,"Leader"
1235,108,"Contibutor"
1235,108,"Leader"
1237,106,"Contibutor"
1237,113,"Contibutor"
1237,119,"Contibutor"
1237,104,"Contibutor"
1237,111,"Contibutor"
1237,118,"Contibutor"
1237,108,"Leader"
1238,971,"Contibutor"
1238,4095,"Contibutor"
1238,108,"Leader"
1239,1631,"Contibutor"
1239,106,"Contibutor"
1239,113,"Leader"
1240,1661,"Contibutor"
1240,113,"Contibutor"
1240,108,"Leader"
1241,113,"Contibutor"
1241,113,"Leader"
1242,113,"Contibutor"
1242,107,"Contibutor"
1242,1631,"Contibutor"
1243,1103,"Contibutor"
1243,646,"Contibutor"
1243,113,"Contibutor"
1243,107,"Contibutor"
1243,1631,"Leader"
1244,108,"Contibutor"
1244,486,"Contibutor"
1244,108,"Leader"
1245,108,"Contibutor"
1246,108,"Contibutor"
1246,973,"Contibutor"
1247,195,"Contibutor"
1247,294,"Contibutor"
1247,108,"Leader"
1248,185,"Contibutor"
1248,108,"Leader"
1249,974,"Contibutor"
1249,108,"Leader"
1251,263,"Contibutor"
1251,108,"Leader"
1252,973,"Contibutor"
1252,108,"Leader"
1253,104,"Contibutor"
1253,959,"Leader"
1254,1692,"Contibutor"
1254,104,"Leader"
1255,2127,"Contibutor"
1255,4013,"Contibutor"
1255,114,"Leader"
1256,106,"Contibutor"
1256,693,"Contibutor"
1256,739,"Contibutor"
1256,109,"Contibutor"
1256,104,"Leader"
1257,106,"Contibutor"
1257,109,"Contibutor"
1257,693,"Contibutor"
1257,739,"Contibutor"
1257,104,"Leader"
1258,107,"Contibutor"
1258,106,"Leader"
1259,739,"Contibutor"
1259,693,"Contibutor"
1259,1031,"Contibutor"
1259,556,"Contibutor"
1259,1014,"Contibutor"
1259,1018,"Contibutor"
1259,2596,"Contibutor"
1259,104,"Leader"
1260,1631,"Contibutor"
1260,113,"Leader"
1261,105,"Contibutor"
1262,756,"Contibutor"
1262,1909,"Contibutor"
1262,695,"Contibutor"
1262,1506,"Contibutor"
1262,749,"Contibutor"
1262,1972,"Contibutor"
1262,113,"Leader"
1263,1650,"Leader"
1264,79,"Contibutor"
1264,106,"Leader"
1265,110,"Contibutor"
1265,113,"Leader"
1266,108,"Contibutor"
1266,108,"Leader"
1267,108,"Contibutor"
1267,108,"Leader"
1268,1661,"Contibutor"
1268,108,"Contibutor"
1268,1661,"Leader"
1269,108,"Contibutor"
1269,108,"Leader"
1270,1724,"Contibutor"
1270,108,"Contibutor"
1270,105,"Contibutor"
1270,1724,"Leader"
1271,2281,"Contibutor"
1271,789,"Contibutor"
1271,108,"Contibutor"
1271,2281,"Leader"
1272,1633,"Contibutor"
1272,108,"Contibutor"
1272,1631,"Contibutor"
1272,740,"Contibutor"
1272,105,"Contibutor"
1272,1633,"Leader"
1273,108,"Leader"
1274,296,"Contibutor"
1274,4154,"Contibutor"
1274,960,"Contibutor"
1274,646,"Contibutor"
1274,660,"Contibutor"
1274,4030,"Contibutor"
1274,107,"Leader"
1275,2232,"Contibutor"
1275,165,"Contibutor"
1275,1676,"Contibutor"
1275,799,"Contibutor"
1275,1727,"Contibutor"
1275,1909,"Contibutor"
1275,107,"Leader"
1276,93,"Contibutor"
1276,974,"Contibutor"
1276,4160,"Contibutor"
1276,349,"Contibutor"
1276,106,"Leader"
1277,949,"Contibutor"
1277,171,"Contibutor"
1277,107,"Leader"
1278,113,"Contibutor"
1278,749,"Contibutor"
1278,1909,"Contibutor"
1278,1972,"Leader"
1279,113,"Contibutor"
1279,1908,"Contibutor"
1279,1908,"Leader"
1280,1911,"Contibutor"
1280,1689,"Contibutor"
1280,110,"Leader"
1281,1892,"Contibutor"
1281,1664,"Contibutor"
1281,1871,"Contibutor"
1281,1669,"Contibutor"
1281,110,"Leader"
1282,960,"Contibutor"
1282,1909,"Contibutor"
1282,110,"Leader"
1283,1710,"Contibutor"
1283,696,"Contibutor"
1283,1913,"Contibutor"
1283,4642,"Contibutor"
1283,110,"Leader"
1284,119,"Contibutor"
1284,110,"Leader"
1285,11,"Contibutor"
1285,2300,"Contibutor"
1285,116,"Leader"
1286,1664,"Contibutor"
1286,1656,"Contibutor"
1286,657,"Contibutor"
1286,2293,"Contibutor"
1286,1909,"Contibutor"
1286,1913,"Contibutor"
1286,110,"Leader"
1287,4231,"Contibutor"
1287,110,"Leader"
1288,1913,"Contibutor"
1288,1689,"Contibutor"
1288,310,"Contibutor"
1288,410,"Contibutor"
1288,1788,"Contibutor"
1288,110,"Leader"
1289,1913,"Contibutor"
1289,2033,"Contibutor"
1289,1098,"Contibutor"
1289,775,"Contibutor"
1289,110,"Leader"
1290,2578,"Contibutor"
1290,116,"Leader"
1291,105,"Contibutor"
1291,105,"Leader"
1292,2065,"Contibutor"
1292,107,"Contibutor"
1292,1521,"Leader"
1293,110,"Contibutor"
1293,717,"Contibutor"
1293,79,"Contibutor"
1293,646,"Contibutor"
1293,2095,"Leader"
1294,1935,"Contibutor"
1294,1134,"Contibutor"
1294,1683,"Contibutor"
1294,119,"Leader"
1295,108,"Contibutor"
1295,974,"Contibutor"
1295,767,"Leader"
1296,113,"Contibutor"
1296,1859,"Contibutor"
1297,4144,"Contibutor"
1297,113,"Leader"
1298,106,"Contibutor"
1298,739,"Contibutor"
1298,104,"Leader"
1299,2101,"Contibutor"
1299,106,"Leader"
1300,107,"Contibutor"
1300,1107,"Leader"
1301,107,"Contibutor"
1301,4092,"Leader"
1302,107,"Contibutor"
1302,4092,"Leader"
1303,106,"Contibutor"
1303,122,"Leader"
1304,106,"Contibutor"
1304,4170,"Leader"
1305,106,"Contibutor"
1305,969,"Leader"
1306,105,"Contibutor"
1306,1200,"Leader"
1307,582,"Contibutor"
1307,79,"Contibutor"
1307,146,"Contibutor"
1307,113,"Leader"
1308,105,"Contibutor"
1308,1101,"Leader"
1309,105,"Contibutor"
1309,1101,"Leader"
1310,105,"Contibutor"
1310,1101,"Leader"
1311,105,"Contibutor"
1311,1101,"Leader"
1312,1868,"Leader"
1313,105,"Contibutor"
1313,1101,"Leader"
1314,105,"Contibutor"
1314,1101,"Leader"
1315,108,"Contibutor"
1315,994,"Leader"
1316,108,"Contibutor"
1316,994,"Leader"
1317,108,"Contibutor"
1317,994,"Leader"
1318,108,"Contibutor"
1318,994,"Leader"
1319,108,"Contibutor"
1319,994,"Leader"
1320,108,"Contibutor"
1320,1276,"Contibutor"
1320,4170,"Leader"
1321,108,"Contibutor"
1321,4339,"Leader"
1322,118,"Contibutor"
1322,1879,"Leader"
1323,106,"Contibutor"
1323,2577,"Leader"
1324,106,"Contibutor"
1324,4321,"Leader"
1325,967,"Leader"
1326,108,"Contibutor"
1326,2109,"Leader"
1327,108,"Contibutor"
1327,1854,"Leader"
1328,79,"Contibutor"
1328,113,"Leader"
1329,119,"Contibutor"
1329,119,"Leader"
1331,119,"Contibutor"
1331,119,"Leader"
1333,108,"Contibutor"
1333,108,"Leader"
1334,263,"Contibutor"
1334,2005,"Contibutor"
1334,71,"Contibutor"
1334,72,"Contibutor"
1334,108,"Leader"
1335,263,"Contibutor"
1335,2005,"Contibutor"
1335,72,"Contibutor"
1335,71,"Contibutor"
1335,108,"Leader"
1336,71,"Contibutor"
1336,72,"Contibutor"
1336,108,"Leader"
1337,1611,"Contibutor"
1337,109,"Contibutor"
1337,100,"Contibutor"
1337,2581,"Contibutor"
1337,109,"Leader"
1338,110,"Contibutor"
1338,974,"Contibutor"
1338,349,"Contibutor"
1338,1065,"Contibutor"
1338,429,"Contibutor"
1338,119,"Leader"
1339,739,"Contibutor"
1339,693,"Contibutor"
1339,1652,"Contibutor"
1339,1843,"Contibutor"
1339,1725,"Contibutor"
1339,2027,"Contibutor"
1339,104,"Leader"
1340,203,"Contibutor"
1340,1079,"Contibutor"
1340,104,"Leader"
1341,655,"Contibutor"
1341,163,"Contibutor"
1341,2600,"Contibutor"
1341,948,"Contibutor"
1341,109,"Leader"
1342,101,"Contibutor"
1342,113,"Leader"
1343,1662,"Contibutor"
1343,113,"Contibutor"
1343,4235,"Contibutor"
1344,1736,"Contibutor"
1344,105,"Contibutor"
1344,111,"Leader"
1345,110,"Contibutor"
1345,110,"Leader"
1346,110,"Contibutor"
1346,2214,"Contibutor"
1346,110,"Leader"
1347,110,"Contibutor"
1347,146,"Contibutor"
1347,110,"Leader"
1348,1631,"Contibutor"
1348,110,"Leader"
1349,636,"Contibutor"
1349,108,"Leader"
1350,1631,"Contibutor"
1350,108,"Contibutor"
1350,740,"Contibutor"
1350,1259,"Contibutor"
1350,1631,"Leader"
1353,110,"Contibutor"
1353,113,"Contibutor"
1353,4098,"Contibutor"
1353,1725,"Leader"
1354,108,"Contibutor"
1354,1661,"Contibutor"
1354,113,"Contibutor"
1354,108,"Leader"
1355,1661,"Contibutor"
1355,108,"Contibutor"
1355,4095,"Contibutor"
1355,1661,"Leader"
1356,108,"Contibutor"
1356,113,"Contibutor"
1356,113,"Leader"
1357,106,"Contibutor"
1357,481,"Contibutor"
1357,789,"Leader"
1359,113,"Contibutor"
1359,106,"Contibutor"
1359,118,"Leader"
1360,113,"Contibutor"
1360,1002,"Contibutor"
1360,1643,"Contibutor"
1360,119,"Leader"
1362,830,"Contibutor"
1362,2408,"Leader"
1363,93,"Contibutor"
1363,4052,"Contibutor"
1363,349,"Contibutor"
1363,598,"Contibutor"
1363,110,"Leader"
