attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
0,0,0,0,0,0,0,1,6,157
1,0,0,0,1,0,70,1,6,158
1,0,0,0,1,0,15,1,6,159
1,0,0,0,1,0,41,1,6,160
241,14,3,1,166,0,110,1,6,161
5,0,0,1,3,0,58,1,6,162
19,0,1,0,13,0,21,1,6,163
122,0,2,0,148,0,141,1,6,164
3,0,0,0,3,0,69,1,6,165
4,0,0,0,5,1,53,1,6,166
23,0,2,1,12,1,81,1,6,167
14,0,1,0,13,0,41,1,9,1307
26,1,2,0,11,1,122,1,9,1308
18,0,1,0,14,0,15,1,9,1309
337,24,2,1,178,4,125,1,9,1310
8,0,0,1,8,0,110,1,9,1311
20,1,0,0,15,0,23,1,9,1312
12,0,0,0,16,1,55,1,9,1313
149,16,2,0,20,1,54,1,9,1314
12,0,0,0,16,0,55,1,9,1315
3,0,0,0,4,0,76,1,9,1316
14,0,0,0,21,1,62,1,9,1317
97,3,3,0,77,1,23,1,9,1318
4,0,0,0,5,0,42,1,9,1319
67,5,2,1,16,1,244,1,9,1320
3,0,0,0,5,0,70,1,9,1321
4,0,0,0,4,0,38,1,9,1322
0,0,0,0,0,0,0,1,9,1323
13,0,1,0,8,0,33,1,9,1324
2,0,0,0,4,0,150,1,9,1325
255,12,5,0,187,2,84,1,9,1326
6,0,0,0,9,0,13,1,9,1327
2,0,0,0,3,0,18,1,9,1328
25,0,1,1,16,1,78,1,9,1329
3,0,0,0,5,0,63,1,9,1330
10,0,1,0,5,0,15,1,9,1331
7,0,0,0,10,0,46,1,9,1332
4,0,0,0,6,0,129,1,9,1333
76,0,3,0,90,2,75,1,9,1334
2,0,0,0,1,0,10,1,9,1335
14,0,0,0,18,0,28,1,9,1336
2,0,0,0,2,0,25,1,9,1337
5,0,0,0,6,0,71,1,9,1338
1,0,0,0,1,0,38,1,9,1339
1,0,0,0,4,0,49,1,9,1340
2,0,0,0,2,1,61,1,9,1341
2,0,0,0,4,0,16,1,9,1342
38,0,2,0,41,0,123,1,9,1343
16,0,1,0,13,0,49,1,9,1344
23,0,3,0,9,1,13,1,9,1345
13,0,1,0,4,0,34,1,9,1346
4,0,0,0,5,0,46,1,9,1347
4,0,0,0,6,0,25,1,9,1348
2,0,0,0,3,0,35,1,9,1349
4,0,0,0,6,0,45,1,9,1350
9,0,1,0,0,0,25,1,9,1351
76,6,2,0,12,0,20,1,9,1352
1,0,0,0,4,0,6,1,9,1353
13,0,1,0,5,0,42,1,9,1354
75,7,1,0,26,0,129,1,9,1355
3,0,0,0,5,0,26,1,9,1356
23,0,1,0,22,0,32,1,9,1357
24,0,3,0,10,0,29,1,9,1358
13,0,1,0,3,0,11,1,9,1359
3,0,0,0,4,0,29,1,9,1360
82,4,1,0,59,3,112,1,9,1361
0,0,0,0,0,0,0,1,9,1362
1,0,0,0,1,0,90,1,9,1363
125,9,2,0,49,0,54,1,9,1364
7,0,0,0,10,0,11,1,9,1365
212,11,5,0,144,1,127,1,9,1366
18,0,0,0,24,0,40,1,9,1367
3,0,0,0,5,0,12,1,9,1368
26,0,3,0,13,1,52,1,9,1369
79,5,1,0,43,0,137,1,9,1370
9,0,0,0,13,0,24,1,9,1371
1,0,0,0,1,0,25,1,9,1372
8,0,1,0,1,0,146,1,9,1373
22,0,1,0,21,1,120,1,9,1374
21,1,1,0,8,0,48,1,9,1375
100,2,3,0,94,1,47,1,9,1376
8,0,0,0,11,0,116,1,9,1377
0,0,0,0,0,0,0,1,9,1378
1,0,0,0,1,0,127,1,9,1379
98,0,8,0,85,0,81,1,9,1380
104,8,1,0,56,0,92,1,9,1381
5,0,0,0,7,1,44,1,9,1382
20,0,1,0,13,1,69,1,9,1383
35,0,5,0,9,0,57,1,9,1384
6,0,0,0,9,0,21,1,9,1385
18,0,0,1,22,0,288,1,9,1386
15,0,2,0,4,0,41,1,9,1387
10,0,0,0,17,0,24,1,9,1388
16,0,0,0,23,0,41,1,9,1389
41,1,1,0,39,1,248,1,9,1390
1,0,0,0,1,0,27,1,9,1391
0,0,0,0,0,0,0,1,9,1392
1,0,0,0,1,0,54,1,9,1393
2,0,0,0,3,0,11,1,9,1394
15,0,1,0,9,0,91,1,9,1395
29,0,3,1,13,0,146,1,9,1396
0,0,0,0,0,0,0,1,9,1397
61,4,2,0,29,0,178,1,9,1398
43,4,0,0,13,1,89,1,9,1399
6,0,0,0,8,0,35,1,9,1400
0,0,0,0,0,0,0,1,9,1401
0,0,0,0,0,0,0,1,9,1402
0,0,0,0,0,0,0,1,9,1403
85,8,2,1,21,0,11,1,9,1404
0,0,0,0,0,0,0,1,9,1405
