fk_id_innovation_info,fk_id_milestone,is_primary
1580,4521,1
1581,4565,1
1100,1387,1
1582,4570,1
1584,4561,1
1584,4565,0
1584,4586,0
1585,4586,1
1585,4565,0
1585,4561,0
1586,4570,1
1586,4576,0
1588,4565,1
1590,4570,1
1590,4576,0
1595,4570,1
1595,4576,0
1597,4565,1
1598,4565,1
1598,4561,0
1599,4565,1
1600,4565,1
1135,1617,1
1139,1630,1
1140,1302,1
1141,3034,0
1141,1456,0
1142,1302,1
1144,1619,1
1145,1630,1
1147,1216,1
1150,1616,1
1152,1625,0
1152,1626,0
1154,1465,1
1155,1562,0
1155,1641,0
1156,1344,1
1159,1466,1
1160,1352,1
1161,1352,1
1603,4454,1
1162,1194,1
979,1613,1
979,1603,0
1163,1181,1
1169,1377,1
1170,1602,1
1174,1236,1
1175,3034,1
1547,4410,1
1179,1340,1
1179,1342,0
1181,1340,0
1181,1344,0
1182,1335,1
1182,1336,0
1183,1335,1
1184,1339,1
1189,1733,1
1190,1340,1
1192,1342,1
1193,1342,1
1198,1236,1
1199,1611,1
1200,1611,1
1201,1401,1
1203,3059,1
1204,1477,1
1205,1477,1
1209,1181,1
1211,3085,1
1214,3110,1
1215,1572,1
1216,1603,0
1216,1604,1
1217,1606,1
1218,1780,1
1223,1216,1
1224,1368,1
1237,1352,1
1238,1352,1
1239,2338,1
1241,1519,1
1243,1242,1
1244,1798,1
1245,1798,1
1247,1798,1
1248,1234,1
1253,1400,1
1254,1400,1
1255,1359,1
1256,1399,1
1257,1395,1
1258,1398,1
1259,1398,1
1262,1360,1
1607,1360,1
1607,4478,0
1263,2028,1
1263,1236,0
1264,1606,1
1265,1302,1
1265,1271,0
1277,2566,1
1277,2573,0
1278,1360,1
1285,1421,1
1290,1393,1
1293,1360,1
1294,1612,1
1294,1613,0
1295,1360,1
1296,1359,1
1297,1316,1
1298,1400,1
1299,1359,1
1303,1291,1
1307,1314,1
1315,1291,1
1316,1291,1
1317,1291,1
1318,1291,1
1319,1291,1
1320,1291,1
1322,1291,1
1327,1291,1
1328,1593,1
1337,1367,1
1337,1370,0
1339,1399,0
1339,1400,1
1341,1368,1
1342,1604,1
1343,1609,0
1343,1607,1
1344,1353,1
1350,1210,1
1353,1306,1
1356,1210,1
1359,1351,1
1360,1599,1
1362,1607,1
1362,1610,0
1612,5283,1
1363,1609,1
1363,1607,0
1364,1610,1
1365,1607,1
1365,1610,0
1366,1359,1
1367,1358,1
1368,1609,1
1368,1607,0
1369,1251,1
1613,1251,1
1370,1251,1
1372,1610,1
1373,1251,1
1614,4075,1
1374,1301,1
1615,4132,1
1376,1194,1
1377,1320,1
1378,1317,1
1379,1309,1
1616,1309,1
1380,1307,1
1393,1394,1
1397,1411,1
1398,1409,1
1399,2856,1
1400,2978,1
1401,1366,1
1402,1402,1
1403,1402,1
1404,1798,1
1407,1251,1
1408,1250,1
1409,1249,1
1410,1251,1
1411,1409,1
1413,1273,1
1415,1267,1
1637,5129,1
1548,4337,1
1638,5147,1
1505,1596,1
1506,1548,0
1507,1547,0
1507,1548,0
1508,1547,0
1508,1548,0
1509,1548,0
1510,1548,0
1511,1548,0
1512,1548,0
1513,1548,0
1514,1548,0
1515,1548,0
1516,1548,0
1517,1548,0
1518,1547,0
1518,1548,0
1519,1547,0
1519,1548,0
1520,1548,0
1521,1548,0
1522,1548,0
1523,1548,0
1524,1548,0
1525,1531,1
1526,1596,1
1527,1596,1
1528,1596,1
1529,1542,1
1529,1543,0
1641,5079,1
1641,5081,0
1530,1542,1
1530,1543,0
1642,5079,1
1642,5081,0
1531,1551,1
1532,1552,1
1533,1536,1
1533,1538,0
1534,1536,1
1534,1538,0
1535,1551,1
1536,1552,1
1537,1551,1
1540,1372,1
1541,1379,1
1544,2301,1
1643,3773,1
1643,4878,0
1644,3845,1
1645,3845,1
1647,4540,1
1648,4645,1
1649,3788,1
1650,3788,1
1650,4881,0
1651,4565,1
1653,4764,1
1654,4475,1
1661,3935,1
1663,4464,1
1663,4469,0
1664,4035,1
1666,4180,0
1666,4037,1
1667,4037,1
1668,5288,1
1669,5294,1
1670,5304,0
1670,5302,1
1671,5315,1
1672,5315,1
1674,4561,0
1674,4565,1
1676,5315,1
1677,5315,1
1678,5315,1
1679,5315,1
1680,5315,1
1681,5315,1
1682,5315,1
1683,5303,1
1684,4459,1
1685,5288,1
1686,5316,1
1687,5316,1
1688,5316,1
1689,5325,1
1690,5325,1
1691,5357,1
1692,5357,1
1693,4478,1
1693,4476,0
1695,4640,1
1696,4640,1
1698,4640,1
1699,4623,1
1700,4640,1
1703,5316,1
1704,5349,1
1706,5325,1
1707,3786,1
1708,4645,1
1709,4760,1
1710,4640,0
1710,4645,1
1711,4607,1
1713,5294,1
1716,4521,1
1718,4645,1
1719,4645,1
1720,4645,1
1721,4645,1
1722,4623,0
1722,4619,1
1723,4640,1
1724,4645,1
1725,4640,1
1726,4570,1
1728,4645,1
1729,4628,1
1730,4628,1
1731,4645,1
1732,4628,1
1733,4628,1
1734,4640,1
1735,4640,1
1736,4633,1
1737,4640,1
1738,4645,1
1739,4645,1
1740,4645,1
1741,4628,1
1742,4628,1
1743,4628,1
1744,4640,1
1745,4645,1
1746,4645,1
1748,4582,1
1754,4565,1
1757,4565,1
1760,4570,1
1764,4645,1
1769,4974,1
1770,4973,1
1771,5182,1
1772,3997,1
1773,4623,1
1774,4623,1
1775,4607,1
1777,4898,1
1778,4898,1
1788,4175,1
1789,4224,1
1789,4879,0
1790,4640,1
1790,4645,0
1791,4640,1
1792,4640,1
1793,4640,1
1794,3851,1
1796,4607,1
1797,4633,1
1798,4633,1
1799,4633,1
1800,4633,1
1802,4614,1
1803,4231,1
1804,4231,1
1805,4231,1
1806,4231,1
1807,4231,1
1808,4231,1
1809,4231,1
1811,4640,1
1812,5377,1
1814,5288,1
1816,4663,1
1820,5391,1
1821,5391,1
1822,4663,1
1823,5294,1
1831,5248,1
1832,4334,1
1833,5221,1
1835,5221,1
1837,4334,1
1838,5283,1
1839,4417,1
1840,4417,1
1841,3852,1
1842,4045,1
1546,5274,1
1843,5182,1
1849,4659,1
1852,3852,1
1853,5024,1
1854,5243,1
1855,5233,1
1858,3895,1
1859,4659,1
1860,4659,1
1866,5126,1
1867,5126,1
1868,5126,1
1869,5126,1
1870,5050,1
1871,3807,1
1873,4594,1
1877,5283,1
1878,5283,1
1882,5275,1
1883,5126,1
1884,4252,1
1885,4252,1
1886,4252,1
1887,4252,1
1888,4252,1
1889,4252,1
1890,4252,1
1891,4252,1
1892,4252,1
1893,4252,1
1894,4252,1
1895,4252,1
1896,4252,1
1897,4252,1
1898,4252,1
1899,4252,1
1900,4252,1
1901,4252,1
1902,4252,1
1903,4252,1
1904,4252,1
1905,4252,1
1906,4252,1
1907,4282,1
1909,5221,1
1910,5221,1
1911,5238,1
1911,5246,0
1912,4334,1
1915,4607,1
1916,4393,1
1917,4393,1
1921,5283,1
1922,5126,1
1924,4119,1
1925,4073,1
1927,3794,1
1928,3794,1
1929,3794,1
1938,4410,1
1942,4334,1
1946,5050,1
1948,4487,1
1952,4410,1
1957,4669,1
1958,4595,1
1961,4735,1
1963,4726,1
1979,5227,1
1980,5059,1
1982,5098,1
1983,5098,1
1984,5098,1
1985,5098,1
1986,5098,1
1987,5098,1
1988,5098,1
1989,5098,1
1990,5098,1
1991,5098,1
1992,5098,1
1993,5098,1
1994,5098,1
1995,5098,1
1996,5098,1
1997,5098,1
1998,5098,1
1999,5098,1
2000,5098,1
2001,5098,1
2002,5098,1
2003,5098,1
2004,5097,1
2005,5174,1
2005,5175,0
2005,5192,0
2006,5079,1
2009,5120,1
2010,5122,1
2011,5122,1
2016,5122,1
2017,5129,1
2022,5140,1
2064,5044,1
2100,4988,1
2104,5174,1
2105,5175,1
2107,4704,1
2108,4879,0
2108,4224,1
985,1456,1
986,1604,1
987,1610,1
1549,5283,1
1550,4410,1
1551,5182,1
988,2251,0
988,1302,1
989,1285,1
990,1285,1
1554,4232,1
991,1243,1
1555,5288,1
992,1564,0
992,1572,1
1556,5221,1
993,1236,1
994,1615,1
995,1616,1
996,1519,1
976,1544,1
997,1377,1
999,1377,1
1001,1385,1
1557,4586,1
1557,4565,0
1557,4561,0
1558,4565,1
1558,4561,0
1558,4586,0
1560,4586,1
1560,4565,0
1012,1387,1
1014,1377,1
1019,1377,1
1024,2475,1
1561,4334,1
1562,4347,1
1562,4349,0
1027,1396,1
1028,1401,1
1031,1564,1
1031,1593,0
1033,1311,1
1034,1311,1
1034,1310,0
1036,1355,1
1037,1609,1
1039,1383,1
1040,1383,1
1041,1385,1
1568,4561,1
1042,1407,1
1043,1385,1
1569,4561,1
1570,4565,1
1571,4532,1
1053,1383,1
1053,1373,0
1572,4532,1
1056,1401,1
1059,1403,1
1062,1403,1
1064,1402,1
1065,1402,1
1066,1373,1
1067,1373,1
1573,4536,1
1574,4540,1
1068,1402,1
1575,4540,1
1071,1402,1
1073,1402,1
1074,1373,1
1576,4536,1
1075,1402,1
1076,1377,0
1076,1373,1
1078,1402,1
1080,1407,1
1577,4540,1
1083,1402,1
1084,1391,1
1578,4558,1
1086,1402,1
1088,1402,1
978,1607,0
978,1610,1
