pk_id_publication_info;version;date_from;date_to;id;"citation";"url";is_ISI_journal;is_open_access;phase_id
18;1;1900-01-01 00:00:00;2199-12-31 23:59:59;20;"Eitzinger A, Läderach P, Rodriguez B, Fisher M, Beebe S, Sonder K, Schmidt A. 2017. Assessing high-impact spots of climate change: spatial yield simulations with decision support system for agrotechnology transfer (DSSAT) model. Mitigation and Adaptation Strategies for Global Change 22(5): 743-760.";"https://doi.org/10.1007/s11027-015-9696-2";1;1;11
19;1;1900-01-01 00:00:00;2199-12-31 23:59:59;21;"Musyimi Z, Said MY, Zida D, Rosenstock TS, Udelhoven T, Savadogo P, de Leeuw J, Aynekulu E. 2017. Evaluating fire severity in Sudanian ecosystems of Burkina Faso using Landsat 8 satellite images. Journal of Arid Environments 139: 95–109.";"https://doi.org/10.1016/j.jaridenv.2016.11.005";0;1;11
20;1;1900-01-01 00:00:00;2199-12-31 23:59:59;22;"Shirsath PB, Aggarwal PK, Thornton PK, Dunnett, A. 2017. Prioritizing climate-smart agricultural land use options at a regional scale. Agricultural Systems 151:174–183.";"https://doi.org/10.1016/j.agsy.2016.09.018";1;1;11
21;1;1900-01-01 00:00:00;2199-12-31 23:59:59;23;"Heinemann AB, Ramirez-Villegas J, Nascente AS, Zeviani WM, Stone LF, Sentelhas PC. 2017. Upland rice cultivar responses to row spacing and water stress across multiple environments . Experimental Agriculture 53(4): 609-626.";"https://doi.org/10.1017/S0014479716000612";1;0;11
22;1;1900-01-01 00:00:00;2199-12-31 23:59:59;24;"Mwongera C, Shikuku KM, Twyman J, Läderach P, Ampaire E, Van Asten P, Twomlowd S, Winowiecki LA. 2017. Climate smart agriculture rapid appraisal (CSA-RA): A tool for prioritizing context-specific climate smart agriculture technologies. Agricultural Systems . 151: 192-203.";"https://doi.org/10.1016/j.agsy.2016.05.009";1;1;11
23;1;1900-01-01 00:00:00;2199-12-31 23:59:59;25;"Dewi ER, Whitbread AM. 2017. Use of climate forecast information to manage lowland rice-based cropping systems in Jakenan, Central Java, Indonesia. Asian Journal of Agricultural Research 11(3): 66-77.";"https://doi.org/10.3923/ajar.2017.66.77";1;0;11
24;1;1900-01-01 00:00:00;2199-12-31 23:59:59;26;"Whitbread AM, Hoffmann MP, Davoren CW, Mowat D, Baldock JA. 2017. Measuring and modeling the water balance of low rainfall cropping systems. Transactions of the American Society of Agricultural and Biological Engineers 60(6): 2097-2110.";"https://doi.org/10.13031/trans.12581";0;0;11
25;1;1900-01-01 00:00:00;2199-12-31 23:59:59;27;"Wossen T, Abdoulaye T, Alene A, Feleke S, Menkir A, Manyong V. 2017. Measuring the impacts of adaptation strategies to drought stress: the case of drought tolerant maize varieties. Journal of Environmental Management 203(1): 106-113.";"https://doi.org/10.1016/j.jenvman.2017.06.058";1;1;11
26;1;1900-01-01 00:00:00;2199-12-31 23:59:59;28;"Rolando JL, Dubeux JC, Perez W, Ramirez D, Turin C, Ruiz-Moreno M, Comerfor N, Mares V, Garcia S, Quiroz R. 2017. Soil organic carbon stocks and fractionation under different land uses in the Peruvian high-Andean Puna. Geoderma. 307: 65-72";"https://doi.org/10.1016/j.geoderma.2017.07.037";0;1;11
27;1;1900-01-01 00:00:00;2199-12-31 23:59:59;29;"Macneil C, Brown HCP, Sonwa DJ. 2017. Investigations of the livelihood strategies of young men and women in forested landscapes of eastern Cameroon. International Forestry Review 19(4): 437-448.";"https://doi.org/10.1505/146554817822272295";0;1;11
