attention_score;news_total;blog_total;policy_total;twitter_total;facebook_total;mendeley_total;fk_id_crp;fk_id_phases;fk_id_altmetrics_info
0;0;0;0;0;0;12;1;3;789
0;0;0;0;0;0;0;1;3;791
0;0;0;0;0;0;0;1;3;792
0;0;0;0;0;0;0;1;3;795
0;0;0;0;0;0;0;1;3;799
0;0;0;0;0;0;18;1;3;802
0;0;0;0;0;0;1;1;3;803
0;0;0;0;0;0;0;1;3;817
0;0;0;0;0;0;0;1;3;820
0;0;0;0;0;0;0;1;3;821
0;0;0;0;0;0;0;1;3;822
0;0;0;0;0;0;0;1;3;832
0;0;0;0;0;0;0;1;3;833
0;0;0;0;0;0;0;1;3;834
0;0;0;0;0;0;0;1;3;841
0;0;0;0;0;0;0;1;3;845
0;0;0;0;0;0;0;1;3;850
0;0;0;0;0;0;0;1;3;857
0;0;0;0;0;0;0;1;3;860
0;0;0;0;0;0;0;1;3;861
0;0;0;0;0;0;0;1;3;867
0;0;0;0;0;0;0;1;3;873
0;0;0;0;0;0;0;1;3;875
0;0;0;0;0;0;0;1;3;899
0;0;0;0;0;0;0;1;3;904
0;0;0;0;0;0;7;1;3;911
0;0;0;0;0;0;0;1;3;912
0;0;0;0;0;0;0;1;3;918
0;0;0;0;0;0;0;1;3;921
0;0;0;0;0;0;0;1;3;937
0;0;0;0;0;0;0;1;3;939
0;0;0;0;0;0;0;1;3;943
0;0;0;0;0;0;0;1;3;945
0;0;0;0;0;0;0;1;3;946
0;0;0;0;0;0;0;1;3;947
0;0;0;0;0;0;0;1;3;948
0;0;0;0;0;0;0;1;3;949
0;0;0;0;0;0;2;1;3;953
0;0;0;0;0;0;25;1;3;967
0;0;0;0;0;0;0;1;3;969
0;0;0;0;0;0;0;1;3;970
0;0;0;0;0;0;0;1;3;972
0;0;0;0;0;0;0;1;3;974
0;0;0;0;0;0;0;1;3;978
0;0;0;0;0;0;0;1;3;982
0;0;0;0;0;0;0;1;3;987
0;0;0;0;0;0;11;1;3;989
0;0;0;0;0;0;0;1;3;995
0;0;0;0;0;0;0;1;3;998
0;0;0;0;0;0;0;1;3;999
0;0;0;0;0;0;0;1;3;1005
0;0;0;0;0;0;0;1;3;1006
0;0;0;0;0;0;7;1;3;1012
0;0;0;0;0;0;0;1;3;1014
0;0;0;0;0;0;0;1;3;1053
0;0;0;0;0;0;0;1;3;1058
0;0;0;0;0;0;0;1;3;1066
0;0;0;0;0;0;0;1;3;1068
0;0;0;0;0;0;0;1;3;1076
0;0;0;0;0;0;30;1;3;1083
0;0;0;0;0;0;0;1;3;1090
0;0;0;0;0;0;0;1;3;1098
0;0;0;0;0;0;0;1;3;1099
0;0;0;0;0;0;0;1;3;1100
0;0;0;0;0;0;0;1;3;1101
0;0;0;0;0;0;0;1;3;1102
0;0;0;0;0;0;0;1;3;1103
0;0;0;0;0;0;0;1;3;1104
0;0;0;0;0;0;0;1;3;1105
0;0;0;0;0;0;0;1;3;1106
0;0;0;0;0;0;0;1;3;1107
0;0;0;0;0;0;0;1;3;1108
0;0;0;0;0;0;0;1;3;1109
0;0;0;0;0;0;0;1;3;1111
0;0;0;0;0;0;0;1;3;1113
0;0;0;0;0;0;36;1;3;1118
0;0;0;0;0;0;0;1;3;1119
0;0;0;0;0;0;0;1;3;1120
0;0;0;0;0;0;0;1;3;1121
0;0;0;0;0;0;0;1;3;1122
0;0;0;0;0;0;0;1;3;1123
0;0;0;0;0;0;0;1;3;1124
0;0;0;0;0;0;0;1;3;1125
0;0;0;0;0;0;0;1;3;1126
0;0;0;0;0;0;0;1;3;1136
0;0;0;0;0;0;0;1;3;1142
0;0;0;0;0;0;0;1;3;1146
0;0;0;0;0;0;17;1;3;1148
0;0;0;0;0;0;0;1;3;1152
0;0;0;0;0;0;0;1;3;1160
0;0;0;0;0;0;0;1;3;1164
0;0;0;0;0;0;17;1;3;1165
0;0;0;0;0;0;0;1;3;1172
0;0;0;0;0;0;0;1;3;1174
0;0;0;0;0;0;0;1;3;1175
0;0;0;0;0;0;0;1;3;1179
0;0;0;0;0;0;0;1;3;1180
13;0;2;0;14;2;59;1;3;1181
2;0;0;0;4;0;56;1;3;1188
2;0;0;0;4;0;0;1;3;1190
1;0;0;0;1;0;0;1;3;1191
1;0;0;0;2;0;0;1;3;1192
0;0;0;0;0;0;14;1;3;1197
0;0;0;0;0;0;0;1;3;1198
0;0;0;0;0;0;0;1;3;1199
0;0;0;0;0;0;0;1;3;1200
0;0;0;0;0;0;0;1;3;1201
0;0;0;0;0;0;0;1;3;1202
368;40;2;0;39;0;26;2;20;7
57;5;0;0;20;0;80;2;20;34
43;0;0;0;60;0;7;2;20;46
43;0;2;0;58;0;17;2;20;47
27;4;0;0;4;0;22;2;20;83
27;0;2;0;23;1;42;2;20;84
25;0;2;0;19;0;55;2;20;94
25;0;0;0;39;1;84;2;20;96
23;0;1;0;24;1;43;2;20;107
21;1;2;0;8;0;92;2;20;119
20;0;1;0;20;1;34;2;20;121
17;0;1;0;9;1;14;2;20;149
16;0;1;0;12;2;33;2;20;164
15;0;0;0;33;0;13;2;20;170
14;0;2;0;10;0;26;2;20;189
14;0;3;0;2;0;52;2;20;190
14;1;0;0;8;1;14;2;20;196
13;0;1;0;7;0;41;2;20;203
12;0;1;0;10;0;6;2;20;212
12;0;1;0;7;0;15;2;20;219
11;0;1;0;4;0;23;2;20;242
10;0;1;0;5;0;48;2;20;245
10;0;0;0;18;0;82;2;20;250
10;0;0;0;14;0;14;2;20;257
10;0;1;0;3;0;5;2;20;259
10;0;1;0;4;0;41;2;20;269
9;0;1;0;3;0;10;2;20;283
9;0;1;0;2;0;34;2;20;292
9;0;0;1;9;0;35;2;20;297
8;0;0;6;8;0;33;2;20;331
8;0;0;0;11;0;12;2;20;341
8;0;0;0;15;1;35;2;20;350
7;0;0;0;11;0;8;2;20;374
6;0;0;0;9;0;30;2;20;384
6;0;0;0;7;0;10;2;20;391
6;0;0;1;7;0;66;2;20;406
6;0;0;0;8;0;30;2;20;437
5;0;0;0;6;0;38;2;20;443
5;0;0;0;9;0;72;2;20;450
5;0;0;0;7;0;15;2;20;452
5;0;0;0;7;0;11;2;20;457
4;0;0;0;5;0;19;2;20;462
4;0;0;0;8;0;27;2;20;464
4;0;0;0;6;0;28;2;20;489
3;0;0;0;7;0;19;2;20;493
3;0;0;0;4;0;5;2;20;509
3;0;0;0;3;0;13;2;20;516
3;0;0;0;5;0;11;2;20;527
3;0;0;0;5;0;34;2;20;529
3;0;0;0;6;0;13;2;20;532
3;0;0;0;4;0;1;2;20;538
2;0;0;0;3;0;2;2;20;543
2;0;0;0;2;0;29;2;20;565
2;0;0;0;3;0;4;2;20;578
2;0;0;0;6;0;26;2;20;590
2;0;0;0;2;0;11;2;20;591
1;0;0;0;1;0;13;2;20;603
1;0;0;0;2;0;9;2;20;622
1;0;0;0;1;0;15;2;20;677
1;0;0;0;4;0;22;2;20;687
1;0;0;0;1;0;0;2;20;742
1;0;0;0;1;0;22;2;20;744
1;0;0;0;2;0;17;2;20;748
1;0;0;0;1;0;5;2;20;774
1;0;0;0;1;0;23;2;20;775
0;0;0;0;0;0;3;2;20;798
0;0;0;0;0;0;4;2;20;825
0;0;0;0;0;0;5;2;20;874
0;0;0;0;0;0;0;2;20;975
