fk_id_oics;fk_id_flagship
39;4
40;10
43;9
46;18
47;9
49;2
49;3
50;3
50;4
50;2
51;1
51;2
52;1
53;5
55;2
56;2
56;3
56;4
57;25
58;22
58;23
58;25
59;22
59;24
60;2
61;24
62;4
62;2
63;1
64;1
64;2
65;2
66;8
67;2
68;6
69;6
70;6
71;8
71;6
72;7
73;9
74;11
74;12
75;11
76;13
77;19
78;19
79;19
80;18
81;17
82;18
83;20
84;20
85;16
86;19
87;19
88;16
89;16
91;31
91;35
92;31
93;33
95;36
95;37
96;39
96;37
97;37
97;38
97;39
97;40
98;40
99;37
100;37
100;39
101;40
101;39
