fk_id_flagship;fk_id_ext_partner;fk_id_phases;fk_id_crp;fk_id_geo_scopes;fk_id_research_phases;fk_id_partnership_info;fk_id_location
4;1626;3;1;0;1;349;0
4;1626;3;1;0;3;349;0
2;1626;3;1;0;1;349;0
2;1626;3;1;0;3;349;0
3;1626;3;1;0;1;349;0
3;1626;3;1;0;3;349;0
2;947;3;1;0;1;350;0
2;947;3;1;0;2;350;0
2;947;3;1;0;3;350;0
1;947;3;1;0;1;350;0
1;947;3;1;0;2;350;0
1;947;3;1;0;3;350;0
4;642;3;1;0;3;351;0
3;642;3;1;0;3;351;0
3;1637;3;1;0;1;352;0
3;1637;3;1;0;2;352;0
1;1645;3;1;0;1;353;0
1;1645;3;1;0;2;353;0
1;1645;3;1;0;3;353;0
4;962;3;1;0;1;354;0
4;962;3;1;0;2;354;0
2;962;3;1;0;1;354;0
2;962;3;1;0;2;354;0
1;962;3;1;0;1;354;0
1;962;3;1;0;2;354;0
2;669;3;1;0;3;355;0
4;191;3;1;0;3;356;0
3;191;3;1;0;3;356;0
1;203;3;1;0;1;357;0
1;226;3;1;0;2;358;0
2;707;3;1;0;1;359;0
2;707;3;1;0;2;359;0
4;68;3;1;0;3;360;0
2;68;3;1;0;3;360;0
3;68;3;1;0;3;360;0
4;1018;3;1;0;3;361;0
2;1018;3;1;0;3;361;0
3;1018;3;1;0;3;361;0
1;1411;3;1;0;2;362;0
1;269;3;1;0;3;363;0
2;548;3;1;0;3;364;0
2;673;3;1;0;2;365;0
2;673;3;1;0;3;365;0
4;552;3;1;0;1;366;0
4;552;3;1;0;3;366;0
2;552;3;1;0;1;366;0
2;552;3;1;0;3;366;0
3;552;3;1;0;1;366;0
3;552;3;1;0;3;366;0
1;552;3;1;0;1;366;0
1;552;3;1;0;3;366;0
1;1421;3;1;0;2;367;0
1;1421;3;1;0;3;367;0
4;670;3;1;0;3;368;0
2;670;3;1;0;3;368;0
3;670;3;1;0;3;368;0
1;670;3;1;0;3;368;0
1;980;3;1;0;1;369;0
1;980;3;1;0;3;369;0
4;28;3;1;0;2;370;0
4;28;3;1;0;3;370;0
2;28;3;1;0;2;370;0
2;28;3;1;0;3;370;0
3;28;3;1;0;2;370;0
3;28;3;1;0;3;370;0
1;28;3;1;0;2;370;0
1;28;3;1;0;3;370;0
4;754;3;1;0;2;371;0
3;1262;3;1;0;2;372;0
3;1262;3;1;0;3;372;0
4;2051;3;1;0;3;373;0
3;2051;3;1;0;3;373;0
4;538;3;1;0;2;374;0
11;669;37;3;0;1;375;0
11;669;37;3;0;2;375;0
11;669;37;3;0;3;375;0
12;669;37;3;0;1;375;0
12;669;37;3;0;2;375;0
12;669;37;3;0;3;375;0
13;669;37;3;0;1;375;0
13;669;37;3;0;2;375;0
13;669;37;3;0;3;375;0
14;669;37;3;0;1;375;0
14;669;37;3;0;2;375;0
14;669;37;3;0;3;375;0
11;2059;37;3;0;3;376;0
11;2047;37;3;0;3;377;0
11;581;37;3;0;3;378;0
11;1031;37;3;0;2;379;0
11;93;37;3;0;2;380;0
12;93;37;3;0;2;380;0
12;1952;37;3;0;1;381;0
12;690;37;3;0;3;382;0
12;90;37;3;0;3;383;0
12;670;37;3;0;1;384;0
12;670;37;3;0;2;384;0
12;670;37;3;0;3;384;0
12;1609;37;3;0;1;385;0
12;1609;37;3;0;2;385;0
12;1609;37;3;0;3;385;0
12;514;37;3;0;3;386;0
12;944;37;3;0;1;387;0
12;970;37;3;0;1;388;0
12;1966;37;3;0;1;389;0
12;1744;37;3;0;1;390;0
13;2062;37;3;0;1;391;0
13;658;37;3;0;2;392;0
13;658;37;3;0;3;392;0
13;146;37;3;0;3;393;0
13;653;37;3;0;3;394;0
13;1513;37;3;0;3;395;0
13;930;37;3;0;3;396;0
14;1963;37;3;0;1;397;0
14;1638;37;3;0;1;398;0
14;1646;37;3;0;1;399;0
14;1411;37;3;0;2;400;0
14;1411;37;3;0;3;400;0
14;1419;37;3;0;2;401;0
14;1419;37;3;0;3;401;0
14;947;37;3;0;1;402;0
14;947;37;3;0;2;402;0
14;635;37;3;0;2;403;0
14;538;37;3;0;2;404;0
14;706;37;3;0;2;405;0
14;671;37;3;0;3;406;0
14;222;37;3;0;3;407;0
14;1620;37;3;0;3;408;0
15;91;37;3;0;3;409;0
15;1816;37;3;0;1;410;0
15;541;37;3;0;1;411;0
15;541;37;3;0;2;411;0
15;541;37;3;0;3;411;0
15;1837;37;3;0;1;412;0
15;1626;37;3;0;1;413;0
15;1631;37;3;0;1;414;0
15;1631;37;3;0;2;414;0
15;1631;37;3;0;3;414;0
15;87;37;3;0;1;415;0
15;87;37;3;0;2;415;0
15;87;37;3;0;3;415;0
15;1223;37;3;0;3;416;0
21;1783;71;5;0;1;417;0
21;1783;71;5;0;2;417;0
21;1808;71;5;0;1;1;0
21;1808;71;5;0;2;1;0
21;1995;71;5;0;1;2;0
21;1995;71;5;0;2;2;0
21;1626;71;5;0;1;3;0
22;1704;71;5;0;1;4;0
22;619;71;5;0;1;5;0
22;501;71;5;0;1;6;0
22;1651;71;5;0;1;7;0
22;793;71;5;0;1;8;0
23;963;71;5;0;1;9;0
23;564;71;5;0;2;10;0
25;113;71;5;0;1;11;0
25;1857;71;5;0;1;12;0
25;577;71;5;0;3;13;0
25;539;71;5;0;3;14;0
7;2065;20;2;0;3;15;0
5;1657;20;2;0;1;16;0
5;15;20;2;0;1;17;0
5;15;20;2;0;2;17;0
5;15;20;2;0;3;17;0
5;1027;20;2;0;2;18;0
5;238;20;2;0;2;19;0
5;2061;20;2;0;2;20;0
5;1931;20;2;0;2;21;0
5;1664;20;2;0;2;22;0
5;577;20;2;0;2;418;0
5;1373;20;2;0;2;419;0
5;1373;20;2;0;3;419;0
5;349;20;2;0;3;420;0
7;642;20;2;0;2;421;0
7;1692;20;2;0;3;422;0
7;670;20;2;0;3;423;0
7;670;20;2;0;2;423;0
9;670;20;2;0;3;423;0
9;670;20;2;0;2;423;0
7;255;20;2;0;3;424;0
7;292;20;2;0;3;425;0
7;1146;20;2;0;2;426;0
7;1377;20;2;0;2;427;0
7;807;20;2;0;2;428;0
7;672;20;2;0;2;429;0
7;649;20;2;0;2;430;0
7;669;20;2;0;2;431;0
10;669;20;2;0;2;431;0
7;1210;20;2;0;2;432;0
7;606;20;2;0;3;433;0
7;1626;20;2;0;1;434;0
7;597;20;2;0;3;435;0
7;69;20;2;0;3;436;0
8;693;20;2;0;1;437;0
8;1854;20;2;0;1;438;0
8;302;20;2;0;1;439;0
8;346;20;2;0;1;440;0
8;1502;20;2;0;2;441;0
8;713;20;2;0;2;442;0
9;594;20;2;0;3;443;0
9;645;20;2;0;3;444;0
9;826;20;2;0;2;445;0
9;1378;20;2;0;1;446;0
10;1487;20;2;0;2;447;0
10;102;20;2;0;2;448;0
10;65;20;2;0;3;449;0
10;1731;20;2;0;3;450;0
18;2064;54;4;0;2;451;0
18;2066;54;4;0;3;452;0
16;575;54;4;0;1;453;0
16;1194;54;4;0;1;454;0
17;1473;54;4;0;3;455;0
17;1463;54;4;0;3;456;0
17;530;54;4;0;3;457;0
17;646;54;4;0;3;458;0
17;646;54;4;0;1;458;0
19;646;54;4;0;3;458;0
19;646;54;4;0;1;458;0
18;669;54;4;0;1;459;0
18;1605;54;4;0;2;460;0
18;1625;54;4;0;2;461;0
19;1880;54;4;0;1;462;0
19;1880;54;4;0;2;462;0
19;1880;54;4;0;3;462;0
19;1713;54;4;0;1;463;0
19;1920;54;4;0;1;464;0
20;947;54;4;0;2;465;0
20;1693;54;4;0;1;466;0
20;1684;54;4;0;1;467;0
20;412;54;4;0;2;468;0
36;1759;122;13;0;0;469;0
37;1759;122;13;0;0;469;0
38;1759;122;13;0;0;469;0
39;1759;122;13;0;0;469;0
36;1759;122;13;0;0;469;0
37;1759;122;13;0;0;469;0
38;1759;122;13;0;0;469;0
39;1759;122;13;0;0;469;0
36;1553;122;13;0;0;470;0
36;1553;122;13;0;0;470;0
36;1854;122;13;0;0;471;0
38;1854;122;13;0;0;471;0
40;1854;122;13;0;0;471;0
36;1854;122;13;0;0;471;0
38;1854;122;13;0;0;471;0
40;1854;122;13;0;0;471;0
36;761;122;13;0;0;472;0
36;761;122;13;0;0;472;0
37;1656;122;13;0;0;473;0
37;1656;122;13;0;0;473;0
37;517;122;13;0;0;474;0
37;517;122;13;0;0;474;0
37;1592;122;13;0;0;475;0
37;1592;122;13;0;0;475;0
37;1591;122;13;0;0;476;0
37;1591;122;13;0;0;476;0
37;2063;122;13;0;0;477;0
37;2063;122;13;0;0;477;0
37;2038;122;13;0;0;478;0
37;2038;122;13;0;0;478;0
37;2068;122;13;0;0;479;0
37;2068;122;13;0;0;479;0
38;1917;122;13;0;0;480;0
38;1917;122;13;0;0;480;0
38;1118;122;13;0;0;481;0
38;1118;122;13;0;0;481;0
38;238;122;13;0;0;482;0
38;238;122;13;0;0;482;0
38;1731;122;13;0;0;483;0
38;1731;122;13;0;0;483;0
39;1650;122;13;0;0;484;0
39;1650;122;13;0;0;484;0
