fk_id_cci;fk_id_oics;Contribution
13;39;1.0
2;40;0.5
1;40;0.5
10;43;0.5
13;43;0.5
13;47;0.3333333333
9;50;1.0
15;54;1.0
6;55;0.3333333333
13;59;0.5
10;60;0.5
13;62;0.3333333333
2;64;0.5
5;65;0.5
2;65;0.5
13;68;1.0
13;69;1.0
13;70;0.5
2;70;0.5
13;73;0.5
3;73;0.5
13;74;0.5
10;77;0.5
16;78;0.5
13;78;0.5
1;79;0.5
3;79;0.5
11;81;0.5
15;82;0.5
2;83;0.5
2;84;0.5
15;85;0.5
2;85;0.5
10;86;0.5
13;87;0.5
13;96;0.5
2;96;0.5
11;98;0.5
2;98;0.5
11;101;0.5
