fk_id_srf_target;fk_id_oics
2;39
2;43
1;46
2;47
3;49
7;49
8;49
8;50
3;51
1;52
3;53
4;53
3;55
7;56
8;56
2;57
2;58
2;59
4;60
2;61
1;62
1;63
2;64
2;65
2;66
1;67
2;71
3;72
2;74
9;74
9;75
7;76
4;77
5;78
5;79
1;80
5;81
1;82
1;83
1;84
6;85
5;86
5;87
6;88
6;89
1;91
2;91
2;92
2;93
1;95
5;96
1;97
2;97
2;98
1;100
5;100
2;101
